,Author of Tweet,Compound Score,Negative Score,Neutral Score,Positive Score,Text,Time of Tweet
446,@nytimes,0.0,0.0,1.0,0.0,"As you walk into a room at University of California, Irvine, the first thing you notice are the fruit and vegetable… https://t.co/c7KTBOf2dZ",Tue Mar 27 23:32:05 +0000 2018
447,@nytimes,-0.4019,0.144,0.856,0.0,"H&amp;M is a ""fast fashion"" giant. But it has a big problem: A $4.3 billion pile of unsold clothes. https://t.co/xkjuVRmCJT",Tue Mar 27 23:17:02 +0000 2018
448,@nytimes,0.7003,0.0,0.766,0.234,"It's pretty clear how birds, even dinosaurs, got their wings. But how insects got theirs has been a mystery -- unti… https://t.co/izgS59NtxG",Tue Mar 27 23:02:03 +0000 2018
449,@nytimes,0.0,0.0,1.0,0.0,"Evening Briefing: Here's what you need to know at the end of the day
https://t.co/v54i6wg4pj",Tue Mar 27 22:47:04 +0000 2018
450,@nytimes,-0.7096,0.228,0.772,0.0,RT @jdelreal: About two dozen people are gathered here at the Sacramento County District Attorney’s Office to protest the death of Stephon…,Tue Mar 27 22:32:02 +0000 2018
451,@nytimes,-0.5994,0.224,0.776,0.0,"Apple is introducing a new iPad, trying to become a force again in classrooms, a battle fought against Google and M… https://t.co/AAPH4kWu1N",Tue Mar 27 22:17:02 +0000 2018
452,@nytimes,0.0772,0.0,0.939,0.061,The 2020 census is a snapshot of America that will affect the number of congressional seats and how state and feder… https://t.co/HcGCEs7ftP,Tue Mar 27 22:01:06 +0000 2018
453,@nytimes,-0.6249,0.221,0.779,0.0,"RT @cliffordlevy: Some Republicans fear the midterms may come down to one thing: Trump’s conduct. (Including Stormy.)
""He blocks everything…",Tue Mar 27 21:47:02 +0000 2018
454,@nytimes,-0.8225,0.364,0.636,0.0,A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally trippi… https://t.co/ilkS6nx9rz,Tue Mar 27 21:32:51 +0000 2018
455,@nytimes,-0.886,0.309,0.691,0.0,"He was wrongfully convicted of rape and murder and spent 23 years behind bars. This week, he returned to work as a… https://t.co/zIGxzZlm4E",Tue Mar 27 21:16:03 +0000 2018
456,@nytimes,-0.0772,0.147,0.734,0.119,Here are 11 movies you won’t want to miss https://t.co/DeWdoxFniP,Tue Mar 27 21:00:23 +0000 2018
457,@nytimes,0.0772,0.0,0.933,0.067,"If President Trump actually meets Kim Jong-un, his challenge will be much larger than merely persuading North Korea… https://t.co/7JveTkU9oD",Tue Mar 27 20:45:08 +0000 2018
458,@nytimes,-0.2732,0.11,0.89,0.0,"“The Americans” has always been as much about marriage and partnership as about geopolitics, our critic writes https://t.co/UXPe1hO5R1",Tue Mar 27 20:30:04 +0000 2018
459,@nytimes,0.0,0.0,1.0,0.0,"Roseanne believes President Trump doesn't oppose same-sex marriage. ""He has said it several times, you know, that h… https://t.co/E7ThXtFRAn",Tue Mar 27 20:22:03 +0000 2018
460,@nytimes,-0.1511,0.2,0.667,0.133,RT @jdelreal: Stephon Clark’s brother is interrupting the city council meeting. “They don’t care about you!” he screamed. https://t.co/GrXi…,Wed Mar 28 00:41:04 +0000 2018
461,@nytimes,-0.4404,0.172,0.828,0.0,Some might find the idea of speed-solving @nytimes crossword puzzles intimidating. Not this group.… https://t.co/bfSPo3yCxa,Wed Mar 28 00:32:04 +0000 2018
462,@nytimes,-0.4404,0.132,0.868,0.0,At least 12 states signaled that they would sue to block the Trump administration from adding a question about citi… https://t.co/C4Pn782AFc,Wed Mar 28 00:17:05 +0000 2018
463,@nytimes,0.0,0.0,1.0,0.0,RT @jdelreal: Packed house today at the Sacramento City Council meeting to discuss the Stephon Clark shooting. The room is at capacity and…,Wed Mar 28 00:08:05 +0000 2018
464,@nytimes,0.2732,0.0,0.896,0.104,The surprise discussions added another layer of complexity to the rush of global diplomacy around North Korea’s nuc… https://t.co/fkwmip5h3Z,Wed Mar 28 00:03:00 +0000 2018
465,@nytimes,0.0,0.0,1.0,0.0,Breaking News: North Korea's leader is said to have met secretly with China's president. It was Kim Jong-un’s first… https://t.co/Mw0YpWvfbC,Tue Mar 27 23:52:39 +0000 2018
466,@nytimes,0.0,0.0,1.0,0.0,"As you walk into a room at University of California, Irvine, the first thing you notice are the fruit and vegetable… https://t.co/c7KTBOf2dZ",Tue Mar 27 23:32:05 +0000 2018
467,@nytimes,-0.4019,0.144,0.856,0.0,"H&amp;M is a ""fast fashion"" giant. But it has a big problem: A $4.3 billion pile of unsold clothes. https://t.co/xkjuVRmCJT",Tue Mar 27 23:17:02 +0000 2018
468,@nytimes,0.7003,0.0,0.766,0.234,"It's pretty clear how birds, even dinosaurs, got their wings. But how insects got theirs has been a mystery -- unti… https://t.co/izgS59NtxG",Tue Mar 27 23:02:03 +0000 2018
469,@nytimes,0.0,0.0,1.0,0.0,"Evening Briefing: Here's what you need to know at the end of the day
https://t.co/v54i6wg4pj",Tue Mar 27 22:47:04 +0000 2018
470,@nytimes,-0.7096,0.228,0.772,0.0,RT @jdelreal: About two dozen people are gathered here at the Sacramento County District Attorney’s Office to protest the death of Stephon…,Tue Mar 27 22:32:02 +0000 2018
471,@nytimes,-0.5994,0.224,0.776,0.0,"Apple is introducing a new iPad, trying to become a force again in classrooms, a battle fought against Google and M… https://t.co/AAPH4kWu1N",Tue Mar 27 22:17:02 +0000 2018
472,@nytimes,0.0772,0.0,0.939,0.061,The 2020 census is a snapshot of America that will affect the number of congressional seats and how state and feder… https://t.co/HcGCEs7ftP,Tue Mar 27 22:01:06 +0000 2018
473,@nytimes,-0.6249,0.221,0.779,0.0,"RT @cliffordlevy: Some Republicans fear the midterms may come down to one thing: Trump’s conduct. (Including Stormy.)
""He blocks everything…",Tue Mar 27 21:47:02 +0000 2018
474,@nytimes,-0.8225,0.364,0.636,0.0,A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally trippi… https://t.co/ilkS6nx9rz,Tue Mar 27 21:32:51 +0000 2018
475,@nytimes,-0.886,0.309,0.691,0.0,"He was wrongfully convicted of rape and murder and spent 23 years behind bars. This week, he returned to work as a… https://t.co/zIGxzZlm4E",Tue Mar 27 21:16:03 +0000 2018
476,@nytimes,-0.0772,0.147,0.734,0.119,Here are 11 movies you won’t want to miss https://t.co/DeWdoxFniP,Tue Mar 27 21:00:23 +0000 2018
477,@nytimes,0.0772,0.0,0.933,0.067,"If President Trump actually meets Kim Jong-un, his challenge will be much larger than merely persuading North Korea… https://t.co/7JveTkU9oD",Tue Mar 27 20:45:08 +0000 2018
478,@nytimes,-0.2732,0.11,0.89,0.0,"“The Americans” has always been as much about marriage and partnership as about geopolitics, our critic writes https://t.co/UXPe1hO5R1",Tue Mar 27 20:30:04 +0000 2018
479,@nytimes,0.0,0.0,1.0,0.0,"Roseanne believes President Trump doesn't oppose same-sex marriage. ""He has said it several times, you know, that h… https://t.co/E7ThXtFRAn",Tue Mar 27 20:22:03 +0000 2018
480,@nytimes,-0.1511,0.2,0.667,0.133,RT @jdelreal: Stephon Clark’s brother is interrupting the city council meeting. “They don’t care about you!” he screamed. https://t.co/GrXi…,Wed Mar 28 00:41:04 +0000 2018
481,@nytimes,-0.4404,0.172,0.828,0.0,Some might find the idea of speed-solving @nytimes crossword puzzles intimidating. Not this group.… https://t.co/bfSPo3yCxa,Wed Mar 28 00:32:04 +0000 2018
482,@nytimes,-0.4404,0.132,0.868,0.0,At least 12 states signaled that they would sue to block the Trump administration from adding a question about citi… https://t.co/C4Pn782AFc,Wed Mar 28 00:17:05 +0000 2018
483,@nytimes,0.0,0.0,1.0,0.0,RT @jdelreal: Packed house today at the Sacramento City Council meeting to discuss the Stephon Clark shooting. The room is at capacity and…,Wed Mar 28 00:08:05 +0000 2018
484,@nytimes,0.2732,0.0,0.896,0.104,The surprise discussions added another layer of complexity to the rush of global diplomacy around North Korea’s nuc… https://t.co/fkwmip5h3Z,Wed Mar 28 00:03:00 +0000 2018
485,@nytimes,0.0,0.0,1.0,0.0,Breaking News: North Korea's leader is said to have met secretly with China's president. It was Kim Jong-un’s first… https://t.co/Mw0YpWvfbC,Tue Mar 27 23:52:39 +0000 2018
486,@nytimes,0.0,0.0,1.0,0.0,"As you walk into a room at University of California, Irvine, the first thing you notice are the fruit and vegetable… https://t.co/c7KTBOf2dZ",Tue Mar 27 23:32:05 +0000 2018
487,@nytimes,-0.4019,0.144,0.856,0.0,"H&amp;M is a ""fast fashion"" giant. But it has a big problem: A $4.3 billion pile of unsold clothes. https://t.co/xkjuVRmCJT",Tue Mar 27 23:17:02 +0000 2018
488,@nytimes,0.7003,0.0,0.766,0.234,"It's pretty clear how birds, even dinosaurs, got their wings. But how insects got theirs has been a mystery -- unti… https://t.co/izgS59NtxG",Tue Mar 27 23:02:03 +0000 2018
489,@nytimes,0.0,0.0,1.0,0.0,"Evening Briefing: Here's what you need to know at the end of the day
https://t.co/v54i6wg4pj",Tue Mar 27 22:47:04 +0000 2018
490,@nytimes,-0.7096,0.228,0.772,0.0,RT @jdelreal: About two dozen people are gathered here at the Sacramento County District Attorney’s Office to protest the death of Stephon…,Tue Mar 27 22:32:02 +0000 2018
491,@nytimes,-0.5994,0.224,0.776,0.0,"Apple is introducing a new iPad, trying to become a force again in classrooms, a battle fought against Google and M… https://t.co/AAPH4kWu1N",Tue Mar 27 22:17:02 +0000 2018
492,@nytimes,0.0772,0.0,0.939,0.061,The 2020 census is a snapshot of America that will affect the number of congressional seats and how state and feder… https://t.co/HcGCEs7ftP,Tue Mar 27 22:01:06 +0000 2018
493,@nytimes,-0.6249,0.221,0.779,0.0,"RT @cliffordlevy: Some Republicans fear the midterms may come down to one thing: Trump’s conduct. (Including Stormy.)
""He blocks everything…",Tue Mar 27 21:47:02 +0000 2018
494,@nytimes,-0.8225,0.364,0.636,0.0,A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally trippi… https://t.co/ilkS6nx9rz,Tue Mar 27 21:32:51 +0000 2018
495,@nytimes,-0.886,0.309,0.691,0.0,"He was wrongfully convicted of rape and murder and spent 23 years behind bars. This week, he returned to work as a… https://t.co/zIGxzZlm4E",Tue Mar 27 21:16:03 +0000 2018
496,@nytimes,-0.0772,0.147,0.734,0.119,Here are 11 movies you won’t want to miss https://t.co/DeWdoxFniP,Tue Mar 27 21:00:23 +0000 2018
497,@nytimes,0.0772,0.0,0.933,0.067,"If President Trump actually meets Kim Jong-un, his challenge will be much larger than merely persuading North Korea… https://t.co/7JveTkU9oD",Tue Mar 27 20:45:08 +0000 2018
498,@nytimes,-0.2732,0.11,0.89,0.0,"“The Americans” has always been as much about marriage and partnership as about geopolitics, our critic writes https://t.co/UXPe1hO5R1",Tue Mar 27 20:30:04 +0000 2018
499,@nytimes,0.0,0.0,1.0,0.0,"Roseanne believes President Trump doesn't oppose same-sex marriage. ""He has said it several times, you know, that h… https://t.co/E7ThXtFRAn",Tue Mar 27 20:22:03 +0000 2018
